Date,ADSGn.DE Close,ADSGn.DE Volume,AIRG.DE Close,AIRG.DE Volume,ALVG.DE Close,ALVG.DE Volume,BASFn.DE Close,BASFn.DE Volume,BAYGn.DE Close,BAYGn.DE Volume,BMWG.DE Close,BMWG.DE Volume,BEIG.DE Close,BEIG.DE Volume,BNRGn.DE Close,BNRGn.DE Volume,CBKG.DE Close,CBKG.DE Volume,CONG.DE Close,CONG.DE Volume,1COV. Volume,1COV.DE Volume,DHER.DE Close,DHER.DE Volume,DBKGn.DE Close,DBKGn.DE Volume,DB1Gn. Volume,DB1Gn.DE Volume,LHAG.DE Close,LHAG.DE Volume,DPWGn.DE Close,DPWGn.DE Volume,DTEGn.DE Close,DTEGn.DE Volume,DWNG.DE Close,DWNG.DE Volume,EONGn.DE Close,EONGn.DE Volume,FMEG.DE Close,FMEG.DE Volume,FREG.DE Close,FREG.DE Volume,HEIG.DE Close,HEIG.DE Volume,HFGG.DE Close,HFGG.DE Volume,HNKG.DE Close,HNKG.DE Volume,IFXGn.DE Close,IFXGn.DE Volume,SDFGn.DE Close,SDFGn.DE Volume,LXSG.DE Close,LXSG.DE Volume,LINI.DE Close,LINI.DE Volume,MBGn.DE Close,MBGn.DE Volume,MRCG.DE Close,MRCG.DE Volume,MTXGn.DE Close,MTXGn.DE Volume,MUVGn.DE Close,MUVGn.DE Volume,PSHG_p.DE Close,PSHG_p.DE Volume,PSMGn.DE Close,PSMGn.DE Volume,PUMG.DE Close,PUMG.DE Volume,QIA.DE Close,QIA.DE Volume,RWEG.DE Close,RWEG.DE Volume,SZGG.DE Close,SZGG.DE Volume,SAPG.DE Close,SAPG.DE Volume,SATG.DE Close,SATG.DE Volume,SIEGn.DE Close,SIEGn.DE Volume,ENR1n. Volume,ENR1n.DE Volume,SHLG.DE Close,SHLG.DE Volume,SY1G. Volume,SY1G.DE Volume,TKAG.DE Close,TKAG.DE Volume,VOWG.DE Close,VOWG.DE Volume,VNAn.DE Close,VNAn.DE Volume,WDIG.H Close,WDIG.H Volume,ZALG.DE Close,ZALG.DE Volume,.GDAXI Close,.GDAXI Volume,nr_nans
2008-01-16,40.81,7466770.0,18.51,1539362.0,142.02,5878872.0,47.775,14060350.0,59.764089,10462215.54,40.01,6390046.0,48.69,1266708.0,,,136.116745,3365638.418,67.84774,4012399.938,,,,,63.383144,16854422.75,112.0,6422040.0,12.161107,9387834.884,22.37,9680136.0,15.08,44422219.0,11.473717,229995.3924,41.738964,22011712.01,38.2,2320736.0,19.346647,212658.2127,89.009243,146390.4671,,,30.06,654428.0,5.741685,23226388.18,37.769436,3765534.351,26.39,1313490.0,,,47.405273,12429482.0,43.94,1542472.0,33.12,696387.0,126.65,3934631.0,99.584899,2665060.844,13.49,999335.0,23.685,2491090.0,14.476555,1444314.765,89.377738,6683305.257,90.4,1304137.0,33.44,13562744.0,6.535,13368.0,82.934228,9608586.0,,,,,17.19,824861.0,34.84,7881831.0,152.115261,3213623.0,,,7.784,262.5,,,7471.57,268115751.0,19
2008-01-17,40.89,3374764.0,17.96,862667.0,141.34,4573539.0,47.435,9678576.0,58.986654,8901364.198,38.7,7342407.0,49.47,864985.0,,,131.261854,1824469.131,67.571022,2663858.386,,,,,62.777276,10542462.2,113.87,3733963.0,11.989824,6808047.024,22.24,7712769.0,15.05,35698714.0,11.451862,172649.3719,42.461172,13943122.94,37.6,1724800.0,19.373314,243576.2436,89.193699,94434.44507,,,30.04,258755.0,6.035902,29968011.34,35.574751,2690355.137,25.24,1558403.0,,,45.7218,14235732.0,43.91,1977508.0,33.1,945418.0,125.06,2280495.0,98.390735,1418064.45,13.6,887553.0,23.601,1312750.0,14.616425,1075425.004,88.598723,3310647.661,92.37,952472.0,33.64,9431474.0,6.3425,720.0,80.898872,8378803.0,,,,,17.0,1087632.0,35.16,7006063.0,151.409828,1736466.0,,,8.072,275.0,,,7413.53,207479855.0,19
2008-01-18,41.24,4084532.0,17.21,887245.0,133.19,13262742.0,45.975,15427738.0,59.0457,9859351.993,37.68,6120439.0,49.74,877848.0,,,126.347027,2213711.355,65.737767,3105652.307,,,,,60.913066,19429541.05,115.65,3202489.0,11.789994,9433813.474,22.17,7076721.0,15.06,42371234.0,11.462789,189345.0951,42.63076,19286995.29,37.67,1738322.0,18.769981,293670.2937,90.936808,198433.2307,,,29.52,442788.0,5.991324,21224418.61,35.347224,4344572.101,24.53,1539545.0,,,44.683239,15562719.0,44.39,2059446.0,32.75,950864.0,120.58,5186259.0,94.848419,2775612.244,13.63,1025041.0,23.876,1115490.0,14.036963,1653537.635,89.007231,5403917.41,92.27,1010478.0,33.69,14998068.0,6.28,2552.0,80.36601,11922678.0,,,,,17.08,902011.0,35.8,7974415.0,149.0352,3773830.0,,,7.808,287.5,,,7314.17,248106090.0,19
2008-01-21,39.23,3902244.0,15.96,1436123.0,119.88,17095464.0,42.5,21586364.0,54.469658,16337498.92,36.28,9980134.0,47.2,1130989.0,,,113.6404,3190930.407,64.215819,5635414.329,,,,,56.462264,29105771.71,103.88,6002993.0,11.133408,15772560.53,21.11,13134683.0,14.39,94264512.0,11.238779,169678.8436,38.87937,36189345.19,35.15,2768960.0,17.969982,278298.2783,87.948621,197642.7983,,,28.15,425907.0,5.768432,30946590.61,32.666675,3253722.464,22.83,1451570.0,,,42.061711,25245853.0,42.1,2722110.0,31.45,788797.0,113.65,6443837.0,90.394025,3185178.859,12.05,903601.0,22.941,1157280.0,12.808104,2088589.664,82.708609,10427792.7,88.19,1096301.0,30.8,25984795.0,6.1,3676.0,73.526164,16004248.0,,,,,16.21,1094558.0,32.61,10495147.0,147.475298,6113693.0,,,7.168,300.0,,,6790.19,409707003.0,19
2008-01-22,40.25,4993273.0,16.43,1030600.0,119.5,20044839.0,42.75,21774232.0,54.095702,16349078.09,35.98,9086614.0,47.41,1348498.0,,,119.813903,4064710.211,63.990986,5212446.265,,,,,58.714851,39321848.81,106.76,5376688.0,11.368922,15402848.62,21.27,13762178.0,13.95,113613915.0,11.801537,135520.5141,37.259518,40461244.46,35.08,2920348.0,18.109982,524133.5241,92.228,379237.3249,,,27.82,416600.0,5.795179,33248670.32,35.840199,4176053.872,23.3,2114575.0,,,41.70994,26973863.0,41.435,2613982.0,32.21,1026972.0,113.93,7009498.0,95.72545,4439393.266,12.45,2084718.0,22.647,2186070.0,13.16777,2227949.602,78.16752,15244719.71,91.0,1256269.0,31.24,30086258.0,5.95,11416.0,74.862685,19921273.0,,,,,16.25,1151183.0,32.78,11981540.0,149.293528,5969763.0,,,7.2,312.5,,,6769.47,469436178.0,18
2008-01-23,38.44,3427571.0,16.07,775154.0,111.32,13969238.0,40.255,20026768.0,51.035167,14646589.0,34.71,7684331.0,46.91,1483602.0,,,114.479517,2835460.856,61.042212,3287100.28,,,,,56.648685,20562967.78,102.46,4353829.0,11.290418,13661412.68,20.53,11341794.0,13.05,84840681.0,12.05833,144084.3475,34.733251,36059364.06,34.46,2903970.0,18.099982,343572.3436,90.927585,188002.5589,,,27.07,441073.0,5.420721,48114556.86,35.53446,4328897.459,22.46,1771072.0,,,40.403364,21529786.0,40.48,3042320.0,31.75,1246197.0,107.11,6311795.0,95.934877,3544675.634,11.85,1395676.0,21.729,1391170.0,12.898021,1916585.296,73.588431,12166323.36,87.41,905401.0,29.96,19651972.0,5.75,840.0,71.84896,14382784.0,,,,,15.67,1329732.0,30.96,7887462.0,147.991954,4712953.0,,,7.136,731.25,,,6439.21,369148125.0,18
2008-01-24,41.5,3813351.0,16.64,694326.0,123.85,13880061.0,42.23,14699052.0,53.938247,12111247.39,36.45,7675191.0,49.56,980849.0,,,122.031569,3514658.254,63.80939,3465149.154,,,,,60.959671,18620824.49,114.13,4666089.0,11.904182,12097671.23,21.43,13714918.0,13.46,60918410.0,12.189458,136474.0847,37.1718,29363570.36,33.8,2771363.0,17.926649,393096.3931,96.479711,240779.3729,,,28.83,517720.0,5.563372,27343816.39,39.241249,2254562.102,23.24,1480476.0,,,43.259406,21115990.0,40.875,1946280.0,33.8,1150816.0,115.74,6448690.0,100.284985,2319520.453,12.22,1670861.0,23.802,2280810.0,13.187752,1055063.161,77.474007,9870120.671,93.83,778882.0,31.26,13702939.0,6.125,9820.0,73.639724,16429934.0,,,,,16.42,1490101.0,32.24,6709978.0,152.105325,5012752.0,,,7.632,903.125,,,6821.07,316874219.0,19
2008-01-25,41.5,2588318.0,17.41,769130.0,121.62,6667565.0,42.13,9035560.0,52.678605,9320929.382,37.2,6149096.0,50.65,1027347.0,,,116.817057,2818186.695,62.961942,2794979.633,,,,,59.7324,12129359.27,116.34,3040251.0,11.57589,9254489.407,22.01,10576761.0,13.58,54812813.0,12.724898,87314.86202,37.189344,21285702.29,34.65,2288969.0,17.949982,292209.2922,96.073908,143179.9454,,,28.37,226203.0,5.625781,17080104.0,40.260379,2225908.939,23.82,1564351.0,,,43.033268,13848764.0,40.68,2414592.0,34.44,1037382.0,112.42,3721580.0,102.866499,2370736.752,13.16,2611660.0,23.914,1179220.0,13.16777,1209310.5,78.538027,6138502.968,96.94,1043013.0,31.42,10440601.0,6.38,4356.0,73.255365,11604506.0,,,,,16.88,890951.0,32.97,5235607.0,156.884387,4153612.0,,,7.696,1075.0,,,6816.74,234245943.0,18
2008-01-28,40.82,2358915.0,17.14,532527.0,123.78,4908842.0,41.58,8550664.0,52.649083,6509064.674,37.33,3597881.0,50.23,823890.0,,,117.596237,2130195.385,63.904512,2171101.765,,,,,59.553746,10916883.08,119.58,3075388.0,11.518795,6300654.355,21.9,6863327.0,13.56,41290906.0,11.664945,155210.559,36.95543,15774414.77,34.55,1161973.0,18.159982,144162.1442,94.755047,90012.79438,,,28.49,201842.0,5.492047,13337857.21,38.61318,2022868.523,23.52,748842.0,,,43.636303,10327128.0,41.115,1330836.0,33.88,353034.0,113.98,3110618.0,104.40686,1392596.683,13.08,691161.0,23.722,621220.0,13.267677,809000.233,78.785032,4935382.405,94.45,749050.0,31.01,10957279.0,6.025,768.0,72.705033,11853201.0,,,,,16.26,614276.0,32.36,4976103.0,157.083101,2180284.0,,,7.36,956.25,,,6818.85,182821554.0,19
2008-01-29,41.73,2003415.0,17.79,346509.0,123.61,4785359.0,42.995,10005276.0,52.717969,6837626.449,37.44,3720280.0,50.3,723776.0,,,124.488982,2304631.109,64.250409,2168461.698,,,,,60.182917,8380823.473,116.41,3033171.0,11.732899,6758772.839,21.79,5306798.0,13.64,45706787.0,12.506351,126339.8796,36.929115,16179967.18,34.8,1159769.0,18.493315,90822.09082,95.91712,79483.45405,,,29.3,199329.0,5.679275,16002747.97,41.561548,1874818.043,23.74,930169.0,,,43.703307,10193955.0,40.985,1347868.0,36.01,648790.0,114.16,3373651.0,108.242374,1324078.212,13.2,985218.0,23.927,873940.0,13.667306,911274.558,79.260041,4562121.807,99.93,930546.0,31.45,10041231.0,6.25,20.0,75.343134,11416673.0,,,,,16.93,963728.0,33.48,5853338.0,155.394035,1813908.0,,,7.928,837.5,,,6892.96,189796981.0,19
